Date,Time,Title
03/02/2024,08:30 - 09:00,Check-in
03/02/2024,09:00 - 09:30,Team forming
03/02/2024,09:30 - 10:30,Opening presentation
03/02/2024,10:30,Hackathon begins
03/02/2024,11:30 - 12:00,Google workshop
03/02/2024,12:00 - 13:00,Palantir workshop
03/02/2024,13:00 - 15:30,Lunch
03/02/2024,13:00 - 14:00,SmartSheet workshop
03/02/2024,14:00 - 15:00,Formula Student web development workshop
03/02/2024,15:00 - 16:00,Scott Logic workshop
03/02/2024,16:00 - 17:00,Formula Student ROS workshop
03/02/2024,18:30,Programming ends
03/02/2024,18:30 - 19:30,Presentation and judging
03/02/2024,19:30 - 20:15,Dinner
03/02/2024,20:15 - 21:00,Closing ceremony
